mfer_id,name,tagline,gender,age,location,media_url,twitter,bio_about,bio_meet
0,,,,,,,,,
3191,"zhoug","bing bong","he/mfer","420yrs old","bing bong, canada","https://soundcloud.com/bad-782004945/macintosh-plus-420","zhoug0x","Etiam placerat erat nisl, nec egestas felis tempus ac. Sed vulputate mi augue, sit amet ultrices dui dictum sodales. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae; Morbi felis diam, dapibus vitae accumsan eget, varius ac mauris. Sed faucibus purus leo, in ullamcorper mauris porttitor vel. Nunc ac enim tristique elit auctor fermentum id sit amet mauris. Cras luctus eros id posuere fermentum. Vivamus tincidunt mauris sed placerat lacinia. Pellentesque euismod lacinia felis, tristique ultrices velit vestibulum a.","Lorem ipsum dolor sit amet, consectetur adipiscing elit. In vel est pellentesque, rhoncus tellus in, maximus magna. Praesent euismod libero viverra laoreet posuere. Nunc pretium odio vel lorem tristique auctor. Suspendisse mi massa, commodo ac pulvinar non, hendrerit quis nisi. Proin viverra consectetur magna vitae pretium. Proin luctus nulla aliquam dui facilisis vulputate. Maecenas non mauris et felis posuere porttitor sit amet a nibh. Morbi viverra pulvinar nunc, a tincidunt sapien. Pellentesque posuere ex vel lectus congue condimentum. Fusce tellus tortor, egestas eu sodales vitae, efficitur et est. Proin sed sapien ipsum."
7332,"imp0ster",,,,,,"the_imp0ster",,
7235,"lobesy",,,,,,"Lobes604",,
9296,"s34n",,,,,,"seandoteth",,
139,"anonchickenlegs",,,,,,"anonchickenlegs",,
5176,"zonko.eth",,,,,,"zonkoooo",,
8064,"toppy",,,,,,"mfer8064",,
8292,"HeresMyMfer",,,,,,"HeresMyEth",,
6332,"coin",,,,,,"thisisnotacoin",,
1719,"metabananas",,,,,,"MetaBananas",,
3577,"JOEL",,,,,,"JoelKruger",,
8179,"npc",,,,,,"npcmfer",,
1874,"roybot",,,,,,"roybot_mfer",,
1720,"Maniac",,,,,,"elCapitanoMfer",,
8681,"Szerro",,,,,,"Szerr0",,
8273,"buidldifferent.eth",,,,,,"andrewhhughes",,
8729,"tnitsuj",,,,,,"tnitsuj_",,
6375,"Paco",,,,,,"Paco420_",,
6106,"domgrady.eth",,,,,,"CryptoBoiDommyG",,
1668,"mfer1668",,,,,,"mfer1668",,
8395,"koalapras.eth",,,,,,"koalapras",,
4767,"idanco.eth",,,,,,"IdancoNFT",,
2567,"Abe",,,,,,"abrahammyorga",,
6942,"mfer6942.eth",,,,,,"HodlerJerry",,
5110,"Hoodiemfer",,,,,,"hoodiemfer",,
662,"another mfer",,,,,,"AnotherMFerFren",,
1321,"OMdegen",,,,,,"OMdegen",,
5773,"Justin",,,,,,"theartofjuss",,
759,"jpegmfer",,,,,,"jpegmfer",,
4170,"4170.eth",,,,,,"29178eth",,
9312,"1707.eth",,,,,,"Goaty_Feesh",,
9007,"CL⟁YTON H⟁RTFORD",,,,,,"ClaytonHartford",,